"","algo","F1","precision","recall","tnr","fnr","fpr","accuracy","G","auc","Gmean","balance"
"1","ga",0.545454545454545,0.444444444444444,0.454545454545455,0.777777777777778,0.545454545454545,0.222222222222222,0.6,0.55048188256318,0.611111111111111,0.447213595499958,0.543215391733535
"2","ibea",0.5,0.4,0.545454545454545,0.727272727272727,0.454545454545455,0.272727272727273,0.6,0.594588390010563,0.619047619047619,0.447213595499958,0.562380221769001
"3","nsga2",0.555555555555556,0.428571428571429,0.555555555555556,0.818181818181818,0.444444444444444,0.181818181818182,0.6,0.594588390010563,0.616161616161616,0.447213595499958,0.562380221769001
"4","nsga3",0.588235294117647,0.428571428571429,0.545454545454545,0.818181818181818,0.454545454545455,0.181818181818182,0.6,0.594588390010563,0.636363636363636,0.447213595499958,0.593944419348651
"5","rs",0.5,0.428571428571429,0.454545454545455,0.727272727272727,0.545454545454545,0.272727272727273,0.6,0.522232967867094,0.580808080808081,0.480384461415261,0.502480389655566
"6","spea2",0.5,0.4,0.545454545454545,0.777777777777778,0.454545454545455,0.222222222222222,0.6,0.603022689155527,0.619047619047619,0.447213595499958,0.583524684281044
