proj,algo,exp,iter,tp,tn,fp,fn,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f1,ga,1,1,3.0,8.0,3.0,6.0,0.4,0.2727272727272727,0.6666666666666666,0.3333333333333333,0.7272727272727273,0.5,0.5303030303030303,0.49236596391733095,0.55,0.5345224838248488,0.49067465715237546
f1,ibea,1,1,0.0,9.0,2.0,9.0,0.0,0.18181818181818182,1.0,0.0,0.8181818181818182,0.0,0.40909090909090906,0.0,0.45,0.0,0.2813005317799139
f1,nsga2,1,1,0.0,9.0,2.0,9.0,0.0,0.18181818181818182,1.0,0.0,0.8181818181818182,0.0,0.40909090909090906,0.0,0.45,0.0,0.2813005317799139
f1,nsga3,1,1,6.0,6.0,5.0,3.0,0.6,0.45454545454545453,0.3333333333333333,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.606060606060606,0.6030226891555273,0.6,0.6030226891555273,0.6014258655161846
f1,rs,1,1,0.0,9.0,2.0,9.0,0.0,0.18181818181818182,1.0,0.0,0.8181818181818182,0.0,0.40909090909090906,0.0,0.45,0.0,0.2813005317799139
f1,spea2,1,1,2.0,6.0,5.0,7.0,0.25,0.45454545454545453,0.7777777777777778,0.2222222222222222,0.5454545454545454,0.2857142857142857,0.38383838383838387,0.34815531191139565,0.4,0.36313651960128146,0.36299535250797743
f2,ga,2,1,6.0,4.0,5.0,5.0,0.5454545454545454,0.5555555555555556,0.45454545454545453,0.5454545454545454,0.4444444444444444,0.5454545454545454,0.4949494949494949,0.4923659639173309,0.5,0.4923659639173309,0.4924305241858137
f2,ibea,2,1,11.0,4.0,5.0,0.0,0.8148148148148148,0.5555555555555556,0.0,1.0,0.4444444444444444,0.6875,0.7222222222222222,0.6666666666666666,0.75,0.82915619758885,0.6071628993408069
f2,nsga2,2,1,7.0,5.0,4.0,4.0,0.6363636363636364,0.4444444444444444,0.36363636363636365,0.6363636363636364,0.5555555555555556,0.6363636363636364,0.5959595959595959,0.5945883900105632,0.6,0.5945883900105632,0.5939444193486509
f2,nsga3,2,1,2.0,9.0,0.0,9.0,0.3076923076923077,0.0,0.8181818181818182,0.18181818181818182,1.0,1.0,0.5909090909090909,0.4264014327112209,0.55,0.7071067811865476,0.42145808812009755
f2,rs,2,1,3.0,8.0,1.0,8.0,0.39999999999999997,0.1111111111111111,0.7272727272727273,0.2727272727272727,0.8888888888888888,0.75,0.5808080808080808,0.4923659639173309,0.55,0.6123724356957945,0.4797734633608852
f2,spea2,2,1,2.0,9.0,0.0,9.0,0.3076923076923077,0.0,0.8181818181818182,0.18181818181818182,1.0,1.0,0.5909090909090909,0.4264014327112209,0.55,0.7071067811865476,0.42145808812009755
f3,ga,3,1,10.0,2.0,0.0,8.0,0.7142857142857143,0.0,0.4444444444444444,0.5555555555555556,1.0,1.0,0.7777777777777778,0.7453559924999299,0.6,0.4472135954999579,0.6857303194726456
f3,ibea,3,1,11.0,2.0,0.0,7.0,0.7586206896551725,0.0,0.3888888888888889,0.6111111111111112,1.0,1.0,0.8055555555555556,0.7817359599705717,0.65,0.4714045207910317,0.725014029538565
f3,nsga2,3,1,12.0,2.0,0.0,6.0,0.8,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8333333333333333,0.816496580927726,0.7,0.5,0.7642977396044841
f3,nsga3,3,1,13.0,2.0,0.0,5.0,0.8387096774193548,0.0,0.2777777777777778,0.7222222222222222,1.0,1.0,0.8611111111111112,0.8498365855987975,0.75,0.5345224838248488,0.8035814496704035
f3,rs,3,1,14.0,2.0,0.0,4.0,0.8750000000000001,0.0,0.2222222222222222,0.7777777777777778,1.0,1.0,0.8888888888888888,0.8819171036881969,0.8,0.5773502691896257,0.8428651597363228
f3,spea2,3,1,10.0,2.0,0.0,8.0,0.7142857142857143,0.0,0.4444444444444444,0.5555555555555556,1.0,1.0,0.7777777777777778,0.7453559924999299,0.6,0.4472135954999579,0.6857303194726456
f4,ga,4,1,5.0,7.0,7.0,1.0,0.5555555555555556,0.5,0.16666666666666666,0.8333333333333334,0.5,0.4166666666666667,0.6666666666666667,0.6454972243679028,0.6,0.60380736442456,0.6273220037500351
f4,ibea,4,1,5.0,7.0,7.0,1.0,0.5555555555555556,0.5,0.16666666666666666,0.8333333333333334,0.5,0.4166666666666667,0.6666666666666667,0.6454972243679028,0.6,0.60380736442456,0.6273220037500351
f4,nsga2,4,1,4.0,7.0,7.0,2.0,0.4705882352941177,0.5,0.3333333333333333,0.6666666666666666,0.5,0.36363636363636365,0.5833333333333333,0.5773502691896257,0.55,0.5318160234783105,0.5750817072006014
