Time;Ava_WS;Max_WS;Min_WS;AvR;MaR;MiR;AvP;MaP;MiP;AvN;OH;PKWh;ProM;AvRP;MaRP;MiRP;Ava_P;Ava_PTR;Ava_PFM;Ava_PFE;AvBA;Sys1inv1;Sys1inv2;Sys1inv3;Sys1inv4;Sys1inv5;Sys1inv6;Sys1inv7;Sys2inv1;Sys2inv2;Sys2inv3;Sys2inv4;Sys2inv5;Sys2inv6;Sys2inv7;ST;FBT;RBT;PCBA;PCBB;PCBC;BA;BB;BC;RT1;RT2;ST1;ST2;NAT1;NAT2;NT;NCT;MCT;RCT;YICT;FICT;AT;TT;CCT;TrT;RTUAvS1;Iave;Istd;EF
01/07/2014 00:03;4.099999905;5.699999809;2.799999952;6.909999847;7.360000134;6.480000019;167;237;104;68;1865;1571713;3;25;28;17;169;169;169;169;1.0;29;29;29;29;30;30;32;35;35;34;36;-14;0;-50;19;25;30;34;35;34;166;165;166;46;46;60;59;14;14;19;22;19;35;25;33;16;28;37;44;3050;31.63636398;2.838053226;0
01/07/2014 00:16;5.900000095;8.199999809;4.300000191;8.31000042;9.319999695;7.409999847;404;605;243;154;1878;1578715;43;27;36;25;402;402;402;402;1.0;30;32;30;32;32;32;31;37;36;37;36;-14;0;-50;25;27;33;41;41;40;165;165;166;50;50;61;60;21;21;26;29;23;40;33;41;21;29;38;45;3050;33.18181992;2.75020647;0
01/07/2014 00:20;1.700000048;2.700000048;1.100000024;3.960000038;4.949999809;3.519999981;0;2;0;155;1881;1579225;48;0;13;0;0;0;0;0;1.0;34;35;35;35;37;36;35;37;37;35;34;-14;0;-50;26;27;33;41;41;40;165;165;166;47;47;50;50;22;22;29;32;25;42;35;40;20;25;36;48;3050;35.45454407;1.128152132;0
02/07/2014 00:04;0.699999988;1.5;0.0;0.0;0.0;0.0;0;0;0;263;1882;1579226;9;0;0;0;0;0;0;0;60.04999924;32;34;33;32;34;32;33;34;35;33;32;-14;0;-50;24;26;29;45;36;38;166;166;166;37;37;36;36;16;16;21;26;21;33;28;33;14;20;30;42;3050;33.09090805;1.044466019;0
02/07/2014 00:17;10.0;13.19999981;5.0;13.61999989;14.40999985;11.55000019;2267;3063;1151;249;1893;1590284;38;3;15;-2;2262;2262;2262;2262;1.0;35;35;34;34;36;33;34;34;34;32;32;-14;0;-50;24;29;34;38;38;38;165;165;166;64;64;81;80;21;21;23;26;26;32;34;36;23;33;40;53;3050;33.90909195;1.221027851;0
03/07/2014 00:00;6.0;8.100000381;4.099999905;8.479999542;9.68999958;7.210000038;445;685;210;261;1900;1597731;48;24;27;16;443;443;443;443;1.0;33;34;33;34;34;33;32;33;35;34;37;-14;0;-50;21;27;32;36;36;36;166;165;166;48;49;64;63;17;17;21;24;23;33;28;33;19;31;39;47;3050;33.81818008;1.328019738;0
03/07/2014 00:22;8.5;11.5;6.099999905;12.22000027;13.51000023;10.47999954;1434;2067;868;245;1922;1617426;37;0;5;-2;1434;1434;1434;1434;1.0;34;34;33;33;34;32;32;33;33;30;30;-14;0;-50;20;26;31;35;35;34;166;165;166;54;54;74;73;17;17;20;23;22;30;30;33;19;32;39;49;3050;32.54545593;1.439696908;0
04/07/2014 00:02;7.400000095;11.69999981;5.099999905;10.82999992;14.22999954;8.800000191;1011;2773;505;256;1926;1623747;57;8;24;0;1000;1000;1000;1000;1.0;33;34;33;33;34;32;31;33;32;30;30;-14;0;-50;20;25;31;34;34;34;166;166;166;51;52;69;69;16;16;19;22;21;30;27;32;18;32;39;50;3050;32.27272797;1.420627236;0
04/07/2014 00:06;11.30000019;15.5;7.599999905;14.35000038;15.35999966;12.98999977;2809;3105;1745;236;1931;1632452;17;13;22;2;2815;2815;2815;2815;1.100000024;36;37;36;36;37;33;34;35;35;31;33;-14;0;-50;21;26;32;38;38;37;165;165;166;101;101;104;103;17;17;20;23;21;33;32;35;18;34;42;62;3050;34.81818008;1.887759566;0
06/07/2014 00:03;4.699999809;5.800000191;3.900000095;7.650000095;8.239999771;7.179999828;293;403;210;314;1975;1664931;29;24;26;24;294;294;294;294;1.0;28;28;27;27;29;27;31;34;33;33;34;-14;0;-50;19;25;30;35;35;34;166;166;166;47;48;60;59;12;12;18;22;18;34;25;32;12;25;35;42;3050;30.09090996;2.948034763;0
06/07/2014 00:17;7.900000095;10.30000019;4.300000191;11.31000042;13.55000019;8.550000191;1141;2085;452;345;1988;1670945;56;4;18;-3;1138;1138;1138;1138;1.0;30;31;30;30;31;31;30;31;30;29;30;-14;0;-50;23;27;32;38;38;37;166;165;166;53;54;68;67;18;18;22;25;22;33;29;34;20;29;35;43;3050;30.27272797;0.646669805;0
07/07/2014 00:03;5.199999809;6.099999905;4.5;7.639999866;7.889999866;7.510000229;288;331;264;297;1998;1677024;15;31;32;30;288;288;288;288;1.0;28;28;27;27;29;33;32;34;33;33;34;-14;0;-50;20;25;31;36;36;35;166;165;166;50;50;59;59;14;14;19;23;18;35;26;32;14;25;35;42;3050;30.72727203;2.901410103;0
07/07/2014 00:05;4.5;5.400000095;4.0;7.090000153;7.25;6.989999771;195;221;179;300;2000;1677368;55;33;33;33;195;195;195;195;1.0;26;26;26;25;32;33;32;33;32;32;32;-14;0;-50;21;25;31;37;37;36;166;165;166;48;48;51;51;13;13;18;22;17;35;25;31;14;23;34;43;3050;29.90909004;3.330301523;0
07/07/2014 00:22;1.299999952;1.899999976;0.699999988;3.210000038;3.430000067;2.730000019;0;0;0;397;2013;1680279;52;0;0;0;0;0;0;0;1.0;32;34;32;33;35;33;33;35;35;32;32;-14;0;-50;24;27;32;40;40;39;165;165;166;46;46;48;47;15;15;21;26;20;37;29;34;16;23;32;44;3050;33.27272797;1.272077799;0
08/07/2014 00:01;3.5;4.0;2.700000048;6.619999886;6.78000021;6.460000038;124;148;81;313;2016;1680611;8;33;33;25;125;125;125;125;1.0;27;27;26;25;33;33;33;34;33;33;33;-14;0;-50;23;27;32;39;39;38;166;166;166;46;47;48;47;15;15;20;25;19;37;27;32;15;24;34;41;3050;30.63636398;3.529099941;0
08/07/2014 00:02;4.0;5.099999905;3.099999905;6.699999809;7.03000021;6.400000095;135;194;77;333;2017;1680758;18;33;41;25;135;135;135;135;1.0;26;26;26;26;31;33;32;33;33;33;33;-14;0;-50;23;27;32;39;39;38;166;166;166;46;47;47;47;15;15;19;24;19;38;27;32;15;24;34;41;3050;30.18181801;3.370998859;0
08/07/2014 00:04;5.699999809;6.599999905;4.900000095;8.590000153;9.06000042;8.31000042;470;566;411;315;2019;1681362;18;20;21;20;471;471;471;471;1.0;27;27;26;27;27;26;26;27;32;31;32;-14;0;-50;23;27;33;39;39;37;166;165;166;53;55;56;56;14;14;20;24;19;35;26;32;15;25;33;40;3050;28.0;2.408318996;0
08/07/2014 00:07;6.900000095;10.0;4.599999905;10.06000042;12.05000019;8.029999733;797;1364;356;339;2022;1683241;8;12;30;5;799;799;799;799;1.0;29;29;28;28;29;28;27;29;28;26;27;-14;0;-50;20;26;32;35;35;34;166;165;166;51;51;64;64;14;14;18;22;18;31;25;30;17;27;34;41;3050;28.0;1.0;0
