proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f8,nsga2,8,1,0.545454545,0.0375,0.4,0.6,0.9625,0.5,0.78125,0.759934208,0.941176471,0.698098684,0.715917046
f8,nsga3,8,1,0.666666667,0.0625,0,1,0.9375,0.5,0.96875,0.968245837,0.941176471,0.707106781,0.955805826
f8,rs,8,1,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f8,spea2,8,1,0.588235294,0.0875,0,1,0.9125,0.416666667,0.95625,0.955248659,0.917647059,0.645497224,0.938128157
f9,ga,9,1,0.152173913,1,0,1,0,0.082352941,0.5,0,0.082352941,0,0.292893219
f9,ibea,9,1,0.823529412,0.038461538,0,1,0.961538462,0.7,0.980769231,0.980580676,0.964705882,0.836660027,0.972803585
f9,nsga2,9,1,0.875,0.025641026,0,1,0.974358974,0.777777778,0.987179487,0.987096234,0.976470588,0.881917104,0.981869057
f9,nsga3,9,1,0.7,0.076923077,0,1,0.923076923,0.538461538,0.961538462,0.960768923,0.929411765,0.733799386,0.945607171
f9,rs,9,1,0.152173913,1,0,1,0,0.082352941,0.5,0,0.082352941,0,0.292893219
f9,spea2,9,1,0.823529412,0.038461538,0,1,0.961538462,0.7,0.980769231,0.980580676,0.964705882,0.836660027,0.972803585
f10,ga,0,2,0.10989011,1,0,1,0,0.058139535,0.5,0,0.058139535,0,0.292893219
f10,ibea,0,2,0.615384615,0.049382716,0.2,0.8,0.950617284,0.5,0.875308642,0.872062972,0.941860465,0.702559424,0.85433145
f10,nsga2,0,2,0.8,0.012345679,0.2,0.8,0.987654321,0.8,0.89382716,0.888888889,0.976744186,0.888888889,0.858309464
f10,nsga3,0,2,0.666666667,0.037037037,0.2,0.8,0.962962963,0.571428571,0.881481481,0.877707451,0.953488372,0.751129349,0.856174164
f10,rs,0,2,0.10989011,1,0,1,0,0.058139535,0.5,0,0.058139535,0,0.292893219
f10,spea2,0,2,0.666666667,0.037037037,0.2,0.8,0.962962963,0.571428571,0.881481481,0.877707451,0.953488372,0.751129349,0.856174164
f1,ga,1,2,0.087912088,1,0,1,0,0.045977011,0.5,0,0.045977011,0,0.292893219
f1,ibea,1,2,0.727272727,0.036144578,0,1,0.963855422,0.571428571,0.981927711,0.981761387,0.965517241,0.755928946,0.974441924
f1,nsga2,1,2,0.727272727,0.036144578,0,1,0.963855422,0.571428571,0.981927711,0.981761387,0.965517241,0.755928946,0.974441924
