"","algo","tp","tn","fp","fn","F1","precision","recall","tnr","fnr","fpr","accuracy","G","auc","Gmean","balance"
"1","ga",40.5,19.5,5,2.5,0.900628626692457,0.901960784313726,0.945609756097561,0.769736842105263,0.054390243902439,0.230263157894737,0.891304347826087,0.855373480411343,0.85875730994152,0.882522902558999,0.83421548833184
"2","ibea",41.5,20,5,3,0.905822725129656,0.901960784313726,0.933414634146341,0.787593984962406,0.0665853658536585,0.212406015037594,0.891304347826087,0.863740360383608,0.869868421052632,0.877325620671674,0.83421548833184
"3","nsga2",42.5,19.5,5,1,0.910998708566509,0.901960784313726,0.969947735191637,0.769736842105263,0.0300522648083624,0.230263157894737,0.898550724637681,0.863740360383608,0.869868421052632,0.905674384221202,0.83421548833184
"4","nsga3",38,20,4.5,4,0.881860465116279,0.89828431372549,0.880714285714285,0.790570175438597,0.119285714285714,0.209429824561404,0.876811594202898,0.8517559335067,0.854406748578764,0.867963819785755,0.833795838031198
"5","rs",40,20,5,3,0.896632566069906,0.901176470588235,0.916428571428571,0.787593984962406,0.0835714285714285,0.212406015037594,0.876811594202898,0.850225812654788,0.854406748578764,0.886478955106547,0.831986491723987
"6","spea2",38.5,20,4.5,4,0.894162210338681,0.89939393939394,0.881111111111111,0.790570175438597,0.118888888888889,0.209429824561404,0.876811594202898,0.840183617303452,0.845586832935999,0.872437795606304,0.825517232106872
