proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f8,nsga2,8,1,0.730769231,0.212121212,0,1,0.787878788,0.575757576,0.893939394,0.887625365,0.835294118,0.758786911,0.850007652
f8,nsga3,8,1,0.716981132,0.227272727,0,1,0.772727273,0.558823529,0.886363636,0.879049073,0.823529412,0.747545002,0.839293913
f8,rs,8,1,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f8,spea2,8,1,0.730769231,0.212121212,0,1,0.787878788,0.575757576,0.893939394,0.887625365,0.835294118,0.758786911,0.850007652
f9,ga,9,1,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f9,ibea,9,1,0.711111111,0.151515152,0.157894737,0.842105263,0.848484848,0.615384615,0.845295056,0.845289037,0.847058824,0.764260343,0.845262175
f9,nsga2,9,1,0.765957447,0.151515152,0.052631579,0.947368421,0.848484848,0.642857143,0.897926635,0.896564416,0.870588235,0.794719414,0.886582796
f9,nsga3,9,1,0.711111111,0.151515152,0.157894737,0.842105263,0.848484848,0.615384615,0.845295056,0.845289037,0.847058824,0.764260343,0.845262175
f9,rs,9,1,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f9,spea2,9,1,0.711111111,0.151515152,0.157894737,0.842105263,0.848484848,0.615384615,0.845295056,0.845289037,0.847058824,0.764260343,0.845262175
f10,ga,0,2,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,ibea,0,2,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f10,nsga2,0,2,0.730769231,0.184615385,0.095238095,0.904761905,0.815384615,0.612903226,0.86007326,0.858911484,0.837209302,0.768515345,0.853110356
f10,nsga3,0,2,0.734693878,0.153846154,0.142857143,0.857142857,0.846153846,0.642857143,0.851648352,0.851630627,0.848837209,0.780772637,0.851546636
f10,rs,0,2,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,spea2,0,2,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f1,ga,1,2,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,ibea,1,2,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,nsga2,1,2,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,nsga3,1,2,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,rs,1,2,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,spea2,1,2,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f2,ga,2,2,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,ibea,2,2,0.740740741,0.203125,0.047619048,0.952380952,0.796875,0.606060606,0.874627976,0.871165066,0.835294118,0.770977039,0.852474851
f2,nsga2,2,2,0.76,0.15625,0.095238095,0.904761905,0.84375,0.655172414,0.874255952,0.873723559,0.858823529,0.794841745,0.870608429
f2,nsga3,2,2,0.740740741,0.203125,0.047619048,0.952380952,0.796875,0.606060606,0.874627976,0.871165066,0.835294118,0.770977039,0.852474851
f2,rs,2,2,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,spea2,2,2,0.745098039,0.171875,0.095238095,0.904761905,0.828125,0.633333333,0.866443452,0.865595721,0.847058824,0.781218939,0.861055208
f3,ga,3,2,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
