AvR,MiR,MiP,AvN,MaRP,AvBA,Sys1inv1,BB,BC,TT,RTUAvS1,Istd,class
1.840000033,1.570000052,0,300,0,60.02000046,25,165,166,13,3050,1.673320055,NEF
13.84000015,1.409999967,0,222,300,4.960000038,39,166,166,29,3050,1.103712797,EF
9.760000229,9.170000076,578,123,60,1,30,166,166,29,3050,1.348399758,NEF
14.14999962,10.68000031,1,-150,210,13.52000046,36,165,166,34,3050,1.747725725,EF
14.11999989,13.22999954,2270,-215,288,2.25,33,166,166,30,3050,1.887759566,EF
1.779999971,1.710000038,0,300,0,60.02000046,23,166,166,11,3050,1.433368564,NEF
1.889999986,1.50999999,0,300,0,60.02000046,26,165,166,14,3050,1.700267315,NEF
9.989999771,9.539999962,0,239,0,22.78000069,21,166,167,24,3050,0.873862863,NEF
9.659999847,8.960000038,557,-55,85,1,20,166,167,19,3050,1.213559866,NEF
11.68000031,10.60999966,1095,-70,250,1,27,166,167,25,3050,1.747725725,NEF
14.19999981,13.67000008,3011,-532,286,13.60000038,34,165,166,28,3050,2.06705761,EF
14.17000008,13.52999973,2543,-782,289,2.960000038,31,166,166,25,3050,2.272363663,EF
9.970000267,1.370000005,0,-162,1074,37.15999985,36,165,166,32,3050,1.48323977,EF
11.01000023,1.269999981,0,-475,204,19.25,35,166,166,33,2963,1.887759566,EF
8.670000076,8.180000305,391,-75,19,1,27,165,166,25,2501,0.774596691,NEF
9.859999657,7.519999981,189,-122,133,1,24,166,167,24,3050,0.831209362,NEF
11.77000046,9.409999847,629,-379,177,1,32,165,166,31,3050,1.078719854,NEF
11.47000027,1.25,0,467,201,16.22999954,34,165,166,33,3050,2.284333944,EF
6.139999866,0,0,186,0,47.93999863,33,166,166,19,3050,1.662418723,NEF
8.970000267,1.409999967,0,151,1000,37.56000137,37,165,166,28,3050,0.52223295,EF
9.859999657,1.360000014,0,-120,238,31.02000046,36,165,166,32,3050,1.578261495,NEF
9.569999695,1.080000043,0,355,993,28.44000053,38,165,166,26,3050,1.136181831,EF
2.529999971,0,0,-76,241,66.84999847,29,165,166,22,3050,1.834022045,NEF
9.319999695,1.320000052,0,-118,1011,29.57999992,35,165,166,31,3050,1.752919436,NEF
13,11.22000027,1056,263,5,1,33,165,166,32,3050,1.361817002,NEF
9.270000458,1.330000043,0,258,1027,29.71999931,35,165,166,32,3050,1.897366524,EF
14.18999958,13.35999966,2970,245,209,18.64999962,38,165,166,26,3050,1.183215976,NEF
2.00999999,1.590000033,0,307,0,59.86999893,37,165,166,20,3050,2.358736277,NEF
13.61999989,13.26000023,1908,-52,189,1,19,166,167,19,3050,1.401298165,NEF
9.979999542,9.510000229,0,238,0,23.84000015,19,166,167,22,3050,0.934198678,NEF
6.510000229,6.210000038,70,-370,43,1,26,165,166,25,3050,2.907670259,NEF
