proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f10,ga,0,1,0.1111111111111111,0.9875,0.16666666666666666,0.8333333333333334,0.0125,0.05952380952380952,0.4229166666666667,0.10206207261596575,0.06976744186046512,0.17251638983558856,0.2918566431230969
f10,ibea,0,1,0.42105263157894735,0.1125,0.3333333333333333,0.6666666666666666,0.8875,0.3076923076923077,0.7770833333333332,0.769198717280955,0.872093023255814,0.5470487925717068,0.7512356927620935
f10,nsga2,0,1,0.5,0.075,0.3333333333333333,0.6666666666666666,0.925,0.4,0.7958333333333333,0.7852812659593165,0.9069767441860465,0.624078267696069,0.7584051830945963
f10,nsga3,0,1,0.42105263157894735,0.1125,0.3333333333333333,0.6666666666666666,0.8875,0.3076923076923077,0.7770833333333332,0.769198717280955,0.872093023255814,0.5470487925717068,0.7512356927620935
f10,rs,0,1,0.10989010989010989,1.0,0.16666666666666666,0.8333333333333334,0.0,0.058823529411764705,0.41666666666666674,0.0,0.05813953488372093,0.0,0.2831395610797812
f10,spea2,0,1,0.4444444444444444,0.1,0.3333333333333333,0.6666666666666666,0.9,0.3333333333333333,0.7833333333333332,0.7745966692414834,0.8837209302325582,0.5694947974514994,0.7539196156627767
f1,ga,1,1,0.04545454545454545,0.9882352941176471,0.0,1.0,0.011764705882352941,0.023255813953488372,0.5058823529411764,0.10846522890932808,0.034482758620689655,0.15249857033260467,0.3012121221215295
f1,ibea,1,1,0.3076923076923077,0.10588235294117647,0.0,1.0,0.8941176470588236,0.18181818181818182,0.9470588235294117,0.9455779434075351,0.896551724137931,0.4264014327112209,0.9251298702273067
f1,nsga2,1,1,0.1904761904761905,0.2,0.0,1.0,0.8,0.10526315789473684,0.9,0.8944271909999159,0.8045977011494253,0.3244428422615251,0.8585786437626906
f1,nsga3,1,1,0.19999999999999998,0.18823529411764706,0.0,1.0,0.8117647058823529,0.1111111111111111,0.9058823529411765,0.9009798587550961,0.8160919540229885,0.3333333333333333,0.8668975470707676
f1,rs,1,1,0.0449438202247191,1.0,0.0,1.0,0.0,0.022988505747126436,0.5,0.0,0.022988505747126436,0.0,0.29289321881345254
f1,spea2,1,1,0.19999999999999998,0.18823529411764706,0.0,1.0,0.8117647058823529,0.1111111111111111,0.9058823529411765,0.9009798587550961,0.8160919540229885,0.3333333333333333,0.8668975470707676
f2,ga,2,1,0.15384615384615385,0.987012987012987,0.125,0.875,0.012987012987012988,0.08433734939759036,0.4439935064935065,0.10660035817780522,0.09411764705882353,0.20535012709710013,0.29650172831331745
f2,ibea,2,1,0.608695652173913,0.1038961038961039,0.125,0.875,0.8961038961038961,0.4666666666666667,0.885551948051948,0.8854890790353708,0.8941176470588236,0.6782329983125268,0.8850665401095268
f2,nsga2,2,1,0.5454545454545454,0.1038961038961039,0.25,0.75,0.8961038961038961,0.42857142857142855,0.823051948051948,0.8198035875000317,0.8823529411764706,0.6453673325818271,0.8085654153440528
f2,nsga3,2,1,0.5833333333333334,0.11688311688311688,0.125,0.875,0.8831168831168831,0.4375,0.8790584415584416,0.8790490729915326,0.8823529411764706,0.6566273069937429,0.8789903660605645
f2,rs,2,1,0.15384615384615385,0.987012987012987,0.125,0.875,0.012987012987012988,0.08433734939759036,0.4439935064935065,0.10660035817780522,0.09411764705882353,0.20535012709710013,0.29650172831331745
f2,spea2,2,1,0.6363636363636364,0.09090909090909091,0.125,0.875,0.9090909090909091,0.5,0.8920454545454546,0.8918825850158447,0.9058823529411765,0.7021094974994094,0.89070804510414
f3,ga,3,1,0.15555555555555556,0.9743589743589743,0.0,1.0,0.02564102564102564,0.08433734939759036,0.5128205128205128,0.16012815380508713,0.10588235294117647,0.2904089347757578,0.31102416192079996
f3,ibea,3,1,0.5263157894736842,0.08974358974358974,0.2857142857142857,0.7142857142857143,0.9102564102564102,0.4166666666666667,0.8122710622710624,0.806339351751575,0.8941176470588236,0.6365933879271064,0.7882376745484573
f3,nsga2,3,1,0.5263157894736842,0.08974358974358974,0.2857142857142857,0.7142857142857143,0.9102564102564102,0.4166666666666667,0.8122710622710624,0.806339351751575,0.8941176470588236,0.6365933879271064,0.7882376745484573
f3,nsga3,3,1,0.5,0.10256410256410256,0.2857142857142857,0.7142857142857143,0.8974358974358975,0.38461538461538464,0.8058608058608059,0.8006407690254357,0.8823529411764706,0.6114994880877856,0.7853467351797273
f3,rs,3,1,0.15217391304347827,1.0,0.0,1.0,0.0,0.08235294117647059,0.5,0.0,0.08235294117647059,0.0,0.29289321881345254
f3,spea2,3,1,0.4761904761904762,0.11538461538461539,0.2857142857142857,0.7142857142857143,0.8846153846153846,0.35714285714285715,0.7994505494505495,0.7949013346750223,0.8705882352941177,0.5891370765533425,0.7821167026494686
f4,ga,4,1,0.15217391304347827,1.0,0.0,1.0,0.0,0.08235294117647059,0.5,0.0,0.08235294117647059,0.0,0.29289321881345254
f4,ibea,4,1,0.56,0.14102564102564102,0.0,1.0,0.8589743589743589,0.3888888888888889,0.9294871794871795,0.9268086959962983,0.8705882352941177,0.6236095644623235,0.9002798129095895
f4,nsga2,4,1,0.56,0.14102564102564102,0.0,1.0,0.8589743589743589,0.3888888888888889,0.9294871794871795,0.9268086959962983,0.8705882352941177,0.6236095644623235,0.9002798129095895
f4,nsga3,4,1,0.5454545454545455,0.11538461538461539,0.14285714285714285,0.8571428571428571,0.8846153846153846,0.4,0.8708791208791209,0.8707707839849465,0.8823529411764706,0.6279217421667403,0.870150524196742
f4,rs,4,1,0.15384615384615385,0.9871794871794872,0.0,1.0,0.01282051282051282,0.08333333333333333,0.5064102564102564,0.11322770341445958,0.09411764705882353,0.28867513459481287,0.3019586903671262
f4,spea2,4,1,0.5833333333333334,0.1282051282051282,0.0,1.0,0.8717948717948718,0.4117647058823529,0.9358974358974359,0.9336995618478525,0.8823529411764706,0.6416889479197478,0.9093452844632631
f5,ga,5,1,0.15384615384615385,0.9871794871794872,0.0,1.0,0.01282051282051282,0.08333333333333333,0.5064102564102564,0.11322770341445958,0.09411764705882353,0.28867513459481287,0.3019586903671262
f5,ibea,5,1,0.56,0.14102564102564102,0.0,1.0,0.8589743589743589,0.3888888888888889,0.9294871794871795,0.9268086959962983,0.8705882352941177,0.6236095644623235,0.9002798129095895
f5,nsga2,5,1,0.5833333333333334,0.1282051282051282,0.0,1.0,0.8717948717948718,0.4117647058823529,0.9358974358974359,0.9336995618478525,0.8823529411764706,0.6416889479197478,0.9093452844632631
f5,nsga3,5,1,0.5185185185185185,0.16666666666666666,0.0,1.0,0.8333333333333334,0.35,0.9166666666666666,0.9128709291752769,0.8470588235294118,0.5916079783099616,0.882148869802242
f5,rs,5,1,0.15217391304347827,1.0,0.0,1.0,0.0,0.08235294117647059,0.5,0.0,0.08235294117647059,0.0,0.29289321881345254
f5,spea2,5,1,0.4827586206896552,0.19230769230769232,0.0,1.0,0.8076923076923077,0.3181818181818182,0.9038461538461539,0.8987170342729172,0.8235294117647058,0.5640760748177662,0.8640179266948947
f6,ga,6,1,0.13333333333333333,0.9873417721518988,0.0,1.0,0.012658227848101266,0.07142857142857142,0.5063291139240507,0.1125087900926024,0.08235294117647059,0.2672612419124244,0.30184393756264927
f6,ibea,6,1,0.4,0.12658227848101267,0.3333333333333333,0.6666666666666666,0.8734177215189873,0.2857142857142857,0.7700421940928269,0.7630717404102043,0.8588235294117647,0.5269402204955085,0.7478748482037584
f6,nsga2,6,1,0.4444444444444444,0.10126582278481013,0.3333333333333333,0.6666666666666666,0.8987341772151899,0.3333333333333333,0.7827004219409281,0.7740517541763341,0.8823529411764706,0.5693864357727616,0.7536609267945951
f6,nsga3,6,1,0.25,0.10126582278481013,0.6666666666666666,0.3333333333333333,0.8987341772151899,0.2,0.6160337552742615,0.5473372443674284,0.8588235294117647,0.4351245032554859,0.5231880814677925
f6,rs,6,1,0.1348314606741573,0.9746835443037974,0.0,1.0,0.02531645569620253,0.07228915662650602,0.5126582278481013,0.15911145683514602,0.09411764705882353,0.2688664289689325,0.3107946563118461
f6,spea2,6,1,0.2222222222222222,0.12658227848101267,0.6666666666666666,0.3333333333333333,0.8734177215189873,0.16666666666666666,0.6033755274261603,0.5395732021758763,0.8352941176470589,0.3969058409438471,0.5201731991281182
f7,ga,7,1,0.13186813186813187,1.0,0.0,1.0,0.0,0.07058823529411765,0.5,0.0,0.07058823529411765,0.0,0.29289321881345254
f7,ibea,7,1,0.3333333333333333,0.17721518987341772,0.3333333333333333,0.6666666666666666,0.8227848101265823,0.2222222222222222,0.7447257383966244,0.7406235256532531,0.8117647058823529,0.4643153271769193,0.7330577453521243
f7,nsga2,7,1,0.3333333333333333,0.17721518987341772,0.3333333333333333,0.6666666666666666,0.8227848101265823,0.2222222222222222,0.7447257383966244,0.7406235256532531,0.8117647058823529,0.4643153271769193,0.7330577453521243
f7,nsga3,7,1,0.4166666666666667,0.16455696202531644,0.16666666666666666,0.8333333333333334,0.8354430379746836,0.2777777777777778,0.8343881856540085,0.8343875188697214,0.8352941176470589,0.5230983089210095,0.834384826285785
f7,rs,7,1,0.13186813186813187,1.0,0.0,1.0,0.0,0.07058823529411765,0.5,0.0,0.07058823529411765,0.0,0.29289321881345254
f7,spea2,7,1,0.37037037037037035,0.20253164556962025,0.16666666666666666,0.8333333333333334,0.7974683544303798,0.23809523809523808,0.8154008438818566,0.8152036322449235,0.8,0.4841229182759271,0.8145318824771814
f8,ga,8,1,0.15217391304347827,1.0,0.0,1.0,0.0,0.08235294117647059,0.5,0.0,0.08235294117647059,0.0,0.29289321881345254
f8,ibea,8,1,0.7058823529411764,0.05128205128205128,0.14285714285714285,0.8571428571428571,0.9487179487179487,0.6,0.9029304029304029,0.9017687137990612,0.9411764705882353,0.7694153624668538,0.8926733675898636
f8,nsga2,8,1,0.7999999999999999,0.02564102564102564,0.14285714285714285,0.8571428571428571,0.9743589743589743,0.75,0.9157509157509158,0.9138735334633754,0.9647058823529412,0.8603834844182798,0.8973705075009385
f8,nsga3,8,1,0.8235294117647058,0.038461538461538464,0.0,1.0,0.9615384615384616,0.7,0.9807692307692307,0.9805806756909202,0.9647058823529412,0.8366600265340756,0.9728035853389789
f8,rs,8,1,0.15384615384615385,0.9871794871794872,0.0,1.0,0.01282051282051282,0.08333333333333333,0.5064102564102564,0.11322770341445958,0.09411764705882353,0.28867513459481287,0.3019586903671262
f8,spea2,8,1,0.75,0.038461538461538464,0.14285714285714285,0.8571428571428571,0.9615384615384616,0.6666666666666666,0.9093406593406593,0.9078412990032037,0.9529411764705882,0.8111071056538126,0.8953877320623089
f9,ga,9,1,0.13186813186813187,1.0,0.0,1.0,0.0,0.07058823529411765,0.5,0.0,0.07058823529411765,0.0,0.29289321881345254
