"","algo","F1","precision","recall","tnr","fnr","fpr","accuracy","G","auc","Gmean","balance"
"1","ga",0.143502686858818,0.0773210489014883,1,0.0125791139240507,0,0.987420886075949,0.0823529411764706,0.104331215396886,0.5,0.188933258466345,0.294697473563385
"2","ibea",0.519230769230769,0.376518218623482,0.866071428571428,0.871773795824428,0.133928571428572,0.128226204175572,0.865526675786594,0.883494364146605,0.886282467532468,0.609238233377335,0.865560157999645
"3","nsga2",0.519230769230769,0.376518218623482,0.9375,0.874208860759494,0.0625,0.125791139240506,0.87140902872777,0.886770698024195,0.889223644003056,0.609238233377335,0.869719609653684
"4","nsga3",0.507326007326007,0.362781954887218,0.866071428571428,0.878267302317935,0.133928571428572,0.121732697682065,0.871340629274966,0.886738131995724,0.889529220779221,0.598057027610113,0.868784504911628
"5","rs",0.143502686858818,0.0773210489014883,1,0.0064102564102564,0,0.993589743589744,0.0882352941176471,0.0533001790889025,0.5,0.10267506354855,0.294697473563385
"6","spea2",0.519230769230769,0.376518218623482,0.9375,0.878267302317935,0.0625,0.121732697682065,0.870588235294118,0.883494364146605,0.886282467532468,0.609238233377335,0.865560157999645
