fold,model,class,recall,fpr,auc,accuracy,best_params
4,RandomForest,micro_average,0.55,0.45,0.785714286,0.55,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
4,DecisionTree,0,0.714285714,0.833333333,0.595238095,0.55,"{'max_depth': None, 'max_features': 'log2'}"
4,DecisionTree,1,0.166666667,0.285714286,0.595238095,0.55,"{'max_depth': None, 'max_features': 'log2'}"
4,DecisionTree,micro_average,0.55,0.45,0.595238095,0.55,"{'max_depth': None, 'max_features': 'log2'}"
4,KNN,0,0,0,0.678571429,0.3,"{'n_neighbors': 5, 'weights': 'distance'}"
4,KNN,1,1,1,0.678571429,0.3,"{'n_neighbors': 5, 'weights': 'distance'}"
4,KNN,micro_average,0.3,0.7,0.678571429,0.3,"{'n_neighbors': 5, 'weights': 'distance'}"
4,NaiveBayes,0,0,0,0.75,0.3,{'var_smoothing': 1e-08}
4,NaiveBayes,1,1,1,0.75,0.3,{'var_smoothing': 1e-08}
4,NaiveBayes,micro_average,0.3,0.7,0.75,0.3,{'var_smoothing': 1e-08}
4,LogisticRegression,0,0,0,0.69047619,0.3,{'C': 1.0}
4,LogisticRegression,1,1,1,0.69047619,0.3,{'C': 1.0}
4,LogisticRegression,micro_average,0.3,0.7,0.69047619,0.3,{'C': 1.0}
4,SVM,0,0,0,0.761904762,0.3,{'C': 0.1}
4,SVM,1,1,1,0.761904762,0.3,{'C': 0.1}
4,SVM,micro_average,0.3,0.7,0.761904762,0.3,{'C': 0.1}
5,RandomForest,0,0.857142857,0.833333333,0.738095238,0.65,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'log2'}"
5,RandomForest,1,0.166666667,0.142857143,0.738095238,0.65,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'log2'}"
5,RandomForest,micro_average,0.65,0.35,0.738095238,0.65,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'log2'}"
5,DecisionTree,0,0.928571429,0.833333333,0.547619048,0.7,"{'max_depth': None, 'max_features': None}"
5,DecisionTree,1,0.166666667,0.071428571,0.547619048,0.7,"{'max_depth': None, 'max_features': None}"
5,DecisionTree,micro_average,0.7,0.3,0.547619048,0.7,"{'max_depth': None, 'max_features': None}"
5,KNN,0,1,1,0.5,0.7,"{'n_neighbors': 3, 'weights': 'uniform'}"
5,KNN,1,0,0,0.5,0.7,"{'n_neighbors': 3, 'weights': 'uniform'}"
5,KNN,micro_average,0.7,0.3,0.5,0.7,"{'n_neighbors': 3, 'weights': 'uniform'}"
5,NaiveBayes,0,1,1,0.702380952,0.7,{'var_smoothing': 1e-07}
5,NaiveBayes,1,0,0,0.702380952,0.7,{'var_smoothing': 1e-07}
5,NaiveBayes,micro_average,0.7,0.3,0.702380952,0.7,{'var_smoothing': 1e-07}
5,LogisticRegression,0,0,0,0.583333333,0.3,{'C': 0.1}
5,LogisticRegression,1,1,1,0.583333333,0.3,{'C': 0.1}
5,LogisticRegression,micro_average,0.3,0.7,0.583333333,0.3,{'C': 0.1}
5,SVM,0,1,0.833333333,0.654761905,0.75,{'C': 0.1}
5,SVM,1,0.166666667,0,0.654761905,0.75,{'C': 0.1}
5,SVM,micro_average,0.75,0.25,0.654761905,0.75,{'C': 0.1}
