proj,algo,exp,iter,tp,tn,fp,fn,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f3,ibea,3,2,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,nsga2,3,2,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,nsga3,3,2,0.0,16.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.7619047619047619,0.0,0.29289321881345254
f3,rs,3,2,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,spea2,3,2,5.0,14.0,2.0,0.0,0.8333333333333333,0.125,0.0,1.0,0.875,0.7142857142857143,0.9375,0.9354143466934853,0.9047619047619048,0.8451542547285166,0.9116116523516815
f1,ga,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,3,6.0,10.0,0.0,5.0,0.7058823529411764,0.0,0.45454545454545453,0.5454545454545454,1.0,1.0,0.7727272727272727,0.7385489458759964,0.7619047619047619,0.816496580927726,0.6785878267333875
f1,nsga3,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f2,ga,2,3,3.0,4.0,0.0,18.0,0.25,0.0,0.8571428571428571,0.14285714285714285,1.0,1.0,0.5714285714285714,0.3779644730092272,0.28,0.4264014327112209,0.3939084732686735
f2,ibea,2,3,14.0,2.0,2.0,7.0,0.7567567567567567,0.5,0.3333333333333333,0.6666666666666666,0.5,0.875,0.5833333333333333,0.5773502691896257,0.64,0.4409585518440984,0.5750817072006014
f2,nsga2,2,3,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,nsga3,2,3,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,rs,2,3,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,spea2,2,3,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f3,ga,3,3,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,ibea,3,3,5.0,9.0,7.0,0.0,0.5882352941176471,0.4375,0.0,1.0,0.5625,0.4166666666666667,0.78125,0.75,0.6666666666666666,0.6454972243679028,0.6906407832308854
f3,nsga2,3,3,5.0,13.0,3.0,0.0,0.7692307692307693,0.1875,0.0,1.0,0.8125,0.625,0.90625,0.9013878188659973,0.8571428571428571,0.7905694150420949,0.8674174785275224
f3,nsga3,3,3,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,rs,3,3,5.0,13.0,3.0,0.0,0.7692307692307693,0.1875,0.0,1.0,0.8125,0.625,0.90625,0.9013878188659973,0.8571428571428571,0.7905694150420949,0.8674174785275224
